date,value
1960-01-01 00:00:00,1.6948
1960-02-01 00:00:00,1.69972
1960-03-01 00:00:00,1.69201
1960-04-01 00:00:00,1.85952
1960-05-01 00:00:00,1.91108
1960-06-01 00:00:00,1.66328
1960-07-01 00:00:00,1.63367
1960-08-01 00:00:00,1.65742
1960-09-01 00:00:00,1.45135
1960-10-01 00:00:00,1.3245
1960-11-01 00:00:00,1.60265
1960-12-01 00:00:00,1.50356
1961-01-01 00:00:00,1.58226
1961-02-01 00:00:00,1.56766
1961-03-01 00:00:00,1.45021
1961-04-01 00:00:00,1.02567
1961-05-01 00:00:00,0.97951
1961-06-01 00:00:00,0.97907
1961-07-01 00:00:00,1.01588
1961-08-01 00:00:00,0.93074
1961-09-01 00:00:00,0.98794
1961-10-01 00:00:00,0.86505
1961-11-01 00:00:00,0.53005
1961-12-01 00:00:00,0.53633
1962-01-01 00:00:00,0.70859
1962-02-01 00:00:00,0.88654
1962-03-01 00:00:00,1.07849
1962-04-01 00:00:00,1.25152
1962-05-01 00:00:00,1.25718
1962-06-01 00:00:00,1.27575
1962-07-01 00:00:00,0.9993
1962-08-01 00:00:00,1.06207
1962-09-01 00:00:00,1.442
1962-10-01 00:00:00,1.3468
1962-11-01 00:00:00,1.41024
1962-12-01 00:00:00,1.34637
1963-01-01 00:00:00,1.40086
1963-02-01 00:00:00,1.23909
1963-03-01 00:00:00,1.02279
1963-04-01 00:00:00,0.90181
1963-05-01 00:00:00,1.00208
1963-06-01 00:00:00,1.15891
1963-07-01 00:00:00,1.41795
1963-08-01 00:00:00,1.4096
1963-09-01 00:00:00,0.89549
1963-10-01 00:00:00,1.191
1963-11-01 00:00:00,1.26535
1963-12-01 00:00:00,1.45382
1964-01-01 00:00:00,1.41902
1964-02-01 00:00:00,1.45498
1964-03-01 00:00:00,1.5999
1964-04-01 00:00:00,1.68125
1964-05-01 00:00:00,1.52877
1964-06-01 00:00:00,1.45072
1964-07-01 00:00:00,1.37948
1964-08-01 00:00:00,1.31554
1964-09-01 00:00:00,1.48957
1964-10-01 00:00:00,1.35663
1964-11-01 00:00:00,1.3547
1964-12-01 00:00:00,1.35269
1965-01-01 00:00:00,1.25123
1965-02-01 00:00:00,1.15098
1965-03-01 00:00:00,1.21794
1965-04-01 00:00:00,1.30309
1965-05-01 00:00:00,1.51804
1965-06-01 00:00:00,1.66933
1965-07-01 00:00:00,1.61201
1965-08-01 00:00:00,1.56183
1965-09-01 00:00:00,1.45548
1965-10-01 00:00:00,1.42403
1965-11-01 00:00:00,1.45255
1965-12-01 00:00:00,1.66982
1966-01-01 00:00:00,1.68016
1966-02-01 00:00:00,2.05671
1966-03-01 00:00:00,2.17563
1966-04-01 00:00:00,2.36636
1966-05-01 00:00:00,2.2642
1966-06-01 00:00:00,2.22142
1966-07-01 00:00:00,2.34648
1966-08-01 00:00:00,2.71379
1966-09-01 00:00:00,2.98975
1966-10-01 00:00:00,3.22989
1966-11-01 00:00:00,3.2064
1966-12-01 00:00:00,3.05101
1967-01-01 00:00:00,2.9336
1967-02-01 00:00:00,2.62938
1967-03-01 00:00:00,2.43264
1967-04-01 00:00:00,2.25239
1967-05-01 00:00:00,2.32063
1967-06-01 00:00:00,2.39164
1967-07-01 00:00:00,2.54023
1967-08-01 00:00:00,2.46595
1967-09-01 00:00:00,2.4523
1967-10-01 00:00:00,2.46921
1967-11-01 00:00:00,2.65796
1967-12-01 00:00:00,2.60586
1968-01-01 00:00:00,3.07683
1968-02-01 00:00:00,3.37536
1968-03-01 00:00:00,3.65811
1968-04-01 00:00:00,3.80847
1968-05-01 00:00:00,3.99213
1968-06-01 00:00:00,3.99677
1968-07-01 00:00:00,3.96023
1968-08-01 00:00:00,4.06257
1968-09-01 00:00:00,4.1074
1968-10-01 00:00:00,4.27253
1968-11-01 00:00:00,4.28117
1968-12-01 00:00:00,4.33107
1969-01-01 00:00:00,4.2546
1969-02-01 00:00:00,4.09689
1969-03-01 00:00:00,4.24602
1969-04-01 00:00:00,4.37793
1969-05-01 00:00:00,4.41193
1969-06-01 00:00:00,4.58075
1969-07-01 00:00:00,4.72162
1969-08-01 00:00:00,4.58125
1969-09-01 00:00:00,4.6532
1969-10-01 00:00:00,4.55092
1969-11-01 00:00:00,4.6499
1969-12-01 00:00:00,4.91198
1970-01-01 00:00:00,4.8766
1970-02-01 00:00:00,5.02618
1970-03-01 00:00:00,4.79312
1970-04-01 00:00:00,4.86304
1970-05-01 00:00:00,4.77434
1970-06-01 00:00:00,4.53919
1970-07-01 00:00:00,4.46122
1970-08-01 00:00:00,4.44901
1970-09-01 00:00:00,4.48301
1970-10-01 00:00:00,4.64545
1970-11-01 00:00:00,4.60458
1970-12-01 00:00:00,4.58877
1971-01-01 00:00:00,4.43825
1971-02-01 00:00:00,4.32816
1971-03-01 00:00:00,4.41493
1971-04-01 00:00:00,4.2957
1971-05-01 00:00:00,4.39913
1971-06-01 00:00:00,4.59065
1971-07-01 00:00:00,4.5234
1971-08-01 00:00:00,4.55187
1971-09-01 00:00:00,4.24048
1971-10-01 00:00:00,3.88495
1971-11-01 00:00:00,3.69062
1971-12-01 00:00:00,3.63969
1972-01-01 00:00:00,3.84444
1972-02-01 00:00:00,3.95152
1972-03-01 00:00:00,3.75681
1972-04-01 00:00:00,3.50731
1972-05-01 00:00:00,3.30768
1972-06-01 00:00:00,3.00694
1972-07-01 00:00:00,3.06562
1972-08-01 00:00:00,3.06639
1972-09-01 00:00:00,3.37474
1972-10-01 00:00:00,3.33109
1972-11-01 00:00:00,3.42495
1972-12-01 00:00:00,3.34942
1973-01-01 00:00:00,3.23578
1973-02-01 00:00:00,3.36999
1973-03-01 00:00:00,3.95683
1973-04-01 00:00:00,4.56994
1973-05-01 00:00:00,4.85217
1973-06-01 00:00:00,5.29215
1973-07-01 00:00:00,5.29674
1973-08-01 00:00:00,6.20293
1973-09-01 00:00:00,6.14725
1973-10-01 00:00:00,6.62883
1973-11-01 00:00:00,7.18427
1973-12-01 00:00:00,7.72076
1974-01-01 00:00:00,8.4259
1974-02-01 00:00:00,9.1155
1974-03-01 00:00:00,9.60208
1974-04-01 00:00:00,9.56298
1974-05-01 00:00:00,10.10074
1974-06-01 00:00:00,10.40558
1974-07-01 00:00:00,10.81804
1974-08-01 00:00:00,10.69903
1974-09-01 00:00:00,11.40701
1974-10-01 00:00:00,11.57403
1974-11-01 00:00:00,11.49719
1974-12-01 00:00:00,11.46352
1975-01-01 00:00:00,11.09127
1975-02-01 00:00:00,10.40888
1975-03-01 00:00:00,9.51273
1975-04-01 00:00:00,9.11191
1975-05-01 00:00:00,8.4797
1975-06-01 00:00:00,8.23815
1975-07-01 00:00:00,8.36684
1975-08-01 00:00:00,7.71128
1975-09-01 00:00:00,7.13189
1975-10-01 00:00:00,6.98729
1975-11-01 00:00:00,6.87313
1975-12-01 00:00:00,6.61892
1976-01-01 00:00:00,6.36385
1976-02-01 00:00:00,5.92601
1976-03-01 00:00:00,5.72772
1976-04-01 00:00:00,5.61016
1976-05-01 00:00:00,5.68943
1976-06-01 00:00:00,5.49319
1976-07-01 00:00:00,5.12744
1976-08-01 00:00:00,5.24935
1976-09-01 00:00:00,5.31907
1976-10-01 00:00:00,5.25912
1976-11-01 00:00:00,5.0621
1976-12-01 00:00:00,5.07042
1977-01-01 00:00:00,5.28153
1977-02-01 00:00:00,5.96816
1977-03-01 00:00:00,6.33947
1977-04-01 00:00:00,6.71535
1977-05-01 00:00:00,6.74766
1977-06-01 00:00:00,6.87784
1977-07-01 00:00:00,6.88901
1977-08-01 00:00:00,6.79864
1977-09-01 00:00:00,6.60361
1977-10-01 00:00:00,6.54144
1977-11-01 00:00:00,6.66736
1977-12-01 00:00:00,6.58899
1978-01-01 00:00:00,6.59878
1978-02-01 00:00:00,6.26272
1978-03-01 00:00:00,6.417
1978-04-01 00:00:00,6.60472
1978-05-01 00:00:00,6.82508
1978-06-01 00:00:00,6.9231
1978-07-01 00:00:00,6.95348
1978-08-01 00:00:00,6.99685
1978-09-01 00:00:00,7.19969
1978-10-01 00:00:00,7.55418
1978-11-01 00:00:00,7.54674
1978-12-01 00:00:00,7.52636
1979-01-01 00:00:00,7.7034
1979-02-01 00:00:00,7.77625
1979-03-01 00:00:00,7.9196
1979-04-01 00:00:00,8.22504
1979-05-01 00:00:00,8.56973
1979-06-01 00:00:00,8.75625
1979-07-01 00:00:00,8.9896
1979-08-01 00:00:00,9.2699
1979-09-01 00:00:00,9.61151
1979-10-01 00:00:00,9.63246
1979-11-01 00:00:00,9.77102
1979-12-01 00:00:00,10.17844
1980-01-01 00:00:00,10.49796
1980-02-01 00:00:00,11.10256
1980-03-01 00:00:00,11.59518
1980-04-01 00:00:00,11.01904
1980-05-01 00:00:00,10.73638
1980-06-01 00:00:00,10.52286
1980-07-01 00:00:00,10.53958
1980-08-01 00:00:00,10.6142
1980-09-01 00:00:00,10.66065
1980-10-01 00:00:00,10.64341
1980-11-01 00:00:00,10.77594
1980-12-01 00:00:00,10.56643
1981-01-01 00:00:00,10.47032
1981-02-01 00:00:00,10.39279
1981-03-01 00:00:00,9.81388
1981-04-01 00:00:00,9.72109
1981-05-01 00:00:00,9.36282
1981-06-01 00:00:00,9.11039
1981-07-01 00:00:00,8.92226
1981-08-01 00:00:00,8.69864
1981-09-01 00:00:00,8.35453
1981-10-01 00:00:00,7.98092
1981-11-01 00:00:00,7.68354
1981-12-01 00:00:00,7.31887
1982-01-01 00:00:00,6.92985
1982-02-01 00:00:00,6.17728
1982-03-01 00:00:00,5.71257
1982-04-01 00:00:00,5.30587
1982-05-01 00:00:00,5.458
1982-06-01 00:00:00,5.80077
1982-07-01 00:00:00,5.7895
1982-08-01 00:00:00,5.45659
1982-09-01 00:00:00,5.11236
1982-10-01 00:00:00,5.22578
1982-11-01 00:00:00,4.97929
1982-12-01 00:00:00,4.81488
1983-01-01 00:00:00,4.68155
1983-02-01 00:00:00,4.54473
1983-03-01 00:00:00,4.41063
1983-04-01 00:00:00,4.83454
1983-05-01 00:00:00,4.51084
1983-06-01 00:00:00,4.14504
1983-07-01 00:00:00,4.11617
1983-08-01 00:00:00,4.23872
